year,qtr,state_fips,low,high
1999,1,1,0.4,1.11
1999,1,2,1.24,1.32
1999,1,4,1.32,1.4
1999,1,5,0.4,1.11
1999,1,6,1.5,1.6
1999,1,8,1.32,1.4
1999,1,9,1.11,1.24
1999,1,10,0.4,1.11
1999,1,11,0.4,1.11
1999,1,12,1.4,1.5
1999,1,13,1.11,1.24
1999,1,15,1.72,1.84
1999,1,16,1.32,1.4
1999,1,17,0.4,1.11
1999,1,18,0.4,1.11
1999,1,19,0.4,1.11
1999,1,20,0.4,1.11
1999,1,21,0.4,1.11
1999,1,22,0.4,1.11
1999,1,23,1.11,1.24
1999,1,24,1.6,1.72
1999,1,25,0.4,1.11
1999,1,26,0.4,1.11
1999,1,27,0.4,1.11
1999,1,28,0.4,1.11
1999,1,29,0.4,1.11
1999,1,30,1.24,1.32
1999,1,31,0.4,1.11
1999,1,32,1.32,1.4
1999,1,33,1.11,1.24
1999,1,34,1.11,1.24
1999,1,35,1.4,1.5
1999,1,36,0.4,1.11
1999,1,37,1.11,1.24
1999,1,38,0.4,1.11
1999,1,39,0.4,1.11
1999,1,40,0.4,1.11
1999,1,41,1.32,1.4
1999,1,42,0.4,1.11
1999,1,44,1.11,1.24
1999,1,45,1.24,1.32
1999,1,46,0.4,1.11
1999,1,47,0.4,1.11
1999,1,48,0.4,1.11
1999,1,49,1.32,1.4
1999,1,50,1.11,1.24
1999,1,51,1.32,1.4
1999,1,53,1.32,1.4
1999,1,54,0.4,1.11
1999,1,55,0.4,1.11
1999,1,56,0.4,1.11
1999,2,1,0.4,1.11
1999,2,2,1.24,1.32
1999,2,4,1.24,1.32
1999,2,5,0.4,1.11
1999,2,6,1.5,1.6
1999,2,8,1.24,1.32
1999,2,9,0.4,1.11
1999,2,10,0.4,1.11
1999,2,11,0.4,1.11
1999,2,12,1.4,1.5
1999,2,13,1.11,1.24
1999,2,15,1.72,1.84
1999,2,16,1.4,1.5
1999,2,17,0.4,1.11
1999,2,18,0.4,1.11
1999,2,19,0.4,1.11
1999,2,20,0.4,1.11
1999,2,21,0.4,1.11
1999,2,22,0.4,1.11
1999,2,23,0.4,1.11
1999,2,24,1.6,1.72
1999,2,25,0.4,1.11
1999,2,26,0.4,1.11
1999,2,27,0.4,1.11
1999,2,28,0.4,1.11
1999,2,29,0.4,1.11
1999,2,30,1.24,1.32
1999,2,31,0.4,1.11
1999,2,32,1.32,1.4
1999,2,33,0.4,1.11
1999,2,34,0.4,1.11
1999,2,35,1.32,1.4
1999,2,36,0.4,1.11
1999,2,37,1.11,1.24
1999,2,38,0.4,1.11
1999,2,39,0.4,1.11
1999,2,40,0.4,1.11
1999,2,41,1.32,1.4
1999,2,42,0.4,1.11
1999,2,44,1.11,1.24
1999,2,45,1.24,1.32
1999,2,46,0.4,1.11
1999,2,47,1.11,1.24
1999,2,48,0.4,1.11
1999,2,49,1.32,1.4
1999,2,50,0.4,1.11
1999,2,51,1.32,1.4
1999,2,53,1.4,1.5
1999,2,54,0.4,1.11
1999,2,55,0.4,1.11
1999,2,56,0.4,1.11
1999,3,1,1.11,1.24
1999,3,2,1.32,1.4
1999,3,4,1.32,1.4
1999,3,5,0.4,1.11
1999,3,6,1.5,1.6
1999,3,8,1.32,1.4
1999,3,9,0.4,1.11
1999,3,10,0.4,1.11
1999,3,11,0.4,1.11
1999,3,12,1.4,1.5
1999,3,13,1.11,1.24
1999,3,15,1.84,2.06
1999,3,16,1.4,1.5
1999,3,17,0.4,1.11
1999,3,18,0.4,1.11
1999,3,19,0.4,1.11
1999,3,20,0.4,1.11
1999,3,21,0.4,1.11
1999,3,22,0.4,1.11
1999,3,23,1.11,1.24
1999,3,24,1.6,1.72
1999,3,25,0.4,1.11
1999,3,26,0.4,1.11
1999,3,27,0.4,1.11
1999,3,28,0.4,1.11
1999,3,29,0.4,1.11
1999,3,30,1.4,1.5
1999,3,31,0.4,1.11
1999,3,32,1.4,1.5
1999,3,33,1.11,1.24
1999,3,34,1.11,1.24
1999,3,35,1.4,1.5
1999,3,36,0.4,1.11
1999,3,37,1.11,1.24
1999,3,38,0.4,1.11
1999,3,39,0.4,1.11
1999,3,40,0.4,1.11
1999,3,41,1.4,1.5
1999,3,42,0.4,1.11
1999,3,44,1.11,1.24
1999,3,45,1.24,1.32
1999,3,46,0.4,1.11
1999,3,47,1.11,1.24
1999,3,48,0.4,1.11
1999,3,49,1.32,1.4
1999,3,50,1.11,1.24
1999,3,51,1.32,1.4
1999,3,53,1.4,1.5
1999,3,54,0.4,1.11
1999,3,55,0.4,1.11
1999,3,56,0.4,1.11
1999,4,1,0.4,1.11
1999,4,2,1.24,1.32
1999,4,4,1.24,1.32
1999,4,5,0.4,1.11
1999,4,6,1.5,1.6
1999,4,8,1.24,1.32
1999,4,9,0.4,1.11
1999,4,10,0.4,1.11
1999,4,11,0.4,1.11
1999,4,12,1.4,1.5
1999,4,13,1.11,1.24
1999,4,15,1.72,1.84
1999,4,16,1.4,1.5
1999,4,17,0.4,1.11
1999,4,18,0.4,1.11
1999,4,19,0.4,1.11
1999,4,20,0.4,1.11
1999,4,21,0.4,1.11
1999,4,22,0.4,1.11
1999,4,23,1.11,1.24
1999,4,24,1.6,1.72
1999,4,25,0.4,1.11
1999,4,26,0.4,1.11
1999,4,27,0.4,1.11
1999,4,28,0.4,1.11
1999,4,29,0.4,1.11
1999,4,30,1.32,1.4
1999,4,31,0.4,1.11
1999,4,32,1.32,1.4
1999,4,33,0.4,1.11
1999,4,34,0.4,1.11
1999,4,35,1.4,1.5
1999,4,36,0.4,1.11
1999,4,37,1.11,1.24
1999,4,38,0.4,1.11
1999,4,39,0.4,1.11
1999,4,40,0.4,1.11
1999,4,41,1.32,1.4
1999,4,42,0.4,1.11
1999,4,44,1.11,1.24
1999,4,45,1.24,1.32
1999,4,46,0.4,1.11
1999,4,47,1.11,1.24
1999,4,48,0.4,1.11
1999,4,49,1.32,1.4
1999,4,50,0.4,1.11
1999,4,51,1.32,1.4
1999,4,53,1.32,1.4
1999,4,54,0.4,1.11
1999,4,55,0.4,1.11
1999,4,56,0.4,1.11
