year,qtr,state_fips,low,high
2010,1,1,1.72,1.84
2010,1,2,1.72,1.84
2010,1,4,2.06,
2010,1,5,1.4,1.5
2010,1,6,2.06,
2010,1,8,2.06,
2010,1,9,1.72,1.84
2010,1,10,1.84,2.06
2010,1,11,0.4,1.11
2010,1,12,2.06,
2010,1,13,2.06,
2010,1,15,2.06,
2010,1,16,2.06,
2010,1,17,1.72,1.84
2010,1,18,1.6,1.72
2010,1,19,1.32,1.4
2010,1,20,1.4,1.5
2010,1,21,1.5,1.6
2010,1,22,1.4,1.5
2010,1,23,1.84,2.06
2010,1,24,2.06,
2010,1,25,1.6,1.72
2010,1,26,1.84,2.06
2010,1,27,1.72,1.84
2010,1,28,1.6,1.72
2010,1,29,1.6,1.72
2010,1,30,1.84,2.06
2010,1,31,1.32,1.4
2010,1,32,2.06,
2010,1,33,2.06,
2010,1,34,1.84,2.06
2010,1,35,1.84,2.06
2010,1,36,1.32,1.4
2010,1,37,1.84,2.06
2010,1,38,0.4,1.11
2010,1,39,1.6,1.72
2010,1,40,1.4,1.5
2010,1,41,2.06,
2010,1,42,1.5,1.6
2010,1,44,2.06,
2010,1,45,2.06,
2010,1,46,1.5,1.6
2010,1,47,1.6,1.72
2010,1,48,1.24,1.32
2010,1,49,2.06,
2010,1,50,1.72,1.84
2010,1,51,2.06,
2010,1,53,2.06,
2010,1,54,1.32,1.4
2010,1,55,1.5,1.6
2010,1,56,1.5,1.6
2010,2,1,1.6,1.72
2010,2,2,1.6,1.72
2010,2,4,2.06,
2010,2,5,1.4,1.5
2010,2,6,2.06,
2010,2,8,2.06,
2010,2,9,1.6,1.72
2010,2,10,1.72,1.84
2010,2,11,0.4,1.11
2010,2,12,2.06,
2010,2,13,1.84,2.06
2010,2,15,2.06,
2010,2,16,2.06,
2010,2,17,1.6,1.72
2010,2,18,1.5,1.6
2010,2,19,1.32,1.4
2010,2,20,1.32,1.4
2010,2,21,1.4,1.5
2010,2,22,1.32,1.4
2010,2,23,1.84,2.06
2010,2,24,2.06,
2010,2,25,1.6,1.72
2010,2,26,1.72,1.84
2010,2,27,1.72,1.84
2010,2,28,1.5,1.6
2010,2,29,1.5,1.6
2010,2,30,1.84,2.06
2010,2,31,1.32,1.4
2010,2,32,2.06,
2010,2,33,1.84,2.06
2010,2,34,1.84,2.06
2010,2,35,1.72,1.84
2010,2,36,1.24,1.32
2010,2,37,1.84,2.06
2010,2,38,0.4,1.11
2010,2,39,1.5,1.6
2010,2,40,1.32,1.4
2010,2,41,2.06,
2010,2,42,1.4,1.5
2010,2,44,1.84,2.06
2010,2,45,2.06,
2010,2,46,1.5,1.6
2010,2,47,1.6,1.72
2010,2,48,1.24,1.32
2010,2,49,2.06,
2010,2,50,1.6,1.72
2010,2,51,2.06,
2010,2,53,2.06,
2010,2,54,1.24,1.32
2010,2,55,1.4,1.5
2010,2,56,1.5,1.6
2010,3,1,1.6,1.72
2010,3,2,1.6,1.72
2010,3,4,2.06,
2010,3,5,1.32,1.4
2010,3,6,2.06,
2010,3,8,2.06,
2010,3,9,1.72,1.84
2010,3,10,1.72,1.84
2010,3,11,0.4,1.11
2010,3,12,2.06,
2010,3,13,1.84,2.06
2010,3,15,2.06,
2010,3,16,2.06,
2010,3,17,1.6,1.72
2010,3,18,1.5,1.6
2010,3,19,1.32,1.4
2010,3,20,1.32,1.4
2010,3,21,1.4,1.5
2010,3,22,1.32,1.4
2010,3,23,1.84,2.06
2010,3,24,2.06,
2010,3,25,1.5,1.6
2010,3,26,1.6,1.72
2010,3,27,1.72,1.84
2010,3,28,1.5,1.6
2010,3,29,1.5,1.6
2010,3,30,1.84,2.06
2010,3,31,1.24,1.32
2010,3,32,2.06,
2010,3,33,1.84,2.06
2010,3,34,1.84,2.06
2010,3,35,1.72,1.84
2010,3,36,1.32,1.4
2010,3,37,1.84,2.06
2010,3,38,0.4,1.11
2010,3,39,1.5,1.6
2010,3,40,1.32,1.4
2010,3,41,2.06,
2010,3,42,1.4,1.5
2010,3,44,1.84,2.06
2010,3,45,2.06,
2010,3,46,1.5,1.6
2010,3,47,1.6,1.72
2010,3,48,1.24,1.32
2010,3,49,2.06,
2010,3,50,1.6,1.72
2010,3,51,2.06,
2010,3,53,2.06,
2010,3,54,1.24,1.32
2010,3,55,1.4,1.5
2010,3,56,1.5,1.6
2010,4,1,1.6,1.72
2010,4,2,1.6,1.72
2010,4,4,2.06,
2010,4,5,1.32,1.4
2010,4,6,2.06,
2010,4,8,2.06,
2010,4,9,1.72,1.84
2010,4,10,1.72,1.84
2010,4,11,0.4,1.11
2010,4,12,2.06,
2010,4,13,1.84,2.06
2010,4,15,2.06,
2010,4,16,2.06,
2010,4,17,1.6,1.72
2010,4,18,1.5,1.6
2010,4,19,1.32,1.4
2010,4,20,1.24,1.32
2010,4,21,1.4,1.5
2010,4,22,1.32,1.4
2010,4,23,1.84,2.06
2010,4,24,2.06,
2010,4,25,1.5,1.6
2010,4,26,1.6,1.72
2010,4,27,1.6,1.72
2010,4,28,1.5,1.6
2010,4,29,1.5,1.6
2010,4,30,1.84,2.06
2010,4,31,1.24,1.32
2010,4,32,2.06,
2010,4,33,1.84,2.06
2010,4,34,1.84,2.06
2010,4,35,1.72,1.84
2010,4,36,1.24,1.32
2010,4,37,1.84,2.06
2010,4,38,0.4,1.11
2010,4,39,1.4,1.5
2010,4,40,1.32,1.4
2010,4,41,2.06,
2010,4,42,1.4,1.5
2010,4,44,1.84,2.06
2010,4,45,2.06,
2010,4,46,1.5,1.6
2010,4,47,1.6,1.72
2010,4,48,1.24,1.32
2010,4,49,2.06,
2010,4,50,1.6,1.72
2010,4,51,2.06,
2010,4,53,2.06,
2010,4,54,1.24,1.32
2010,4,55,1.4,1.5
2010,4,56,1.4,1.5
