year,qtr,state_fips,low,high
2008,1,1,1.5,1.6
2008,1,2,1.72,1.84
2008,1,4,2.06,
2008,1,5,1.4,1.5
2008,1,6,2.06,
2008,1,8,2.06,
2008,1,9,1.6,1.72
2008,1,10,1.6,1.72
2008,1,11,0.4,1.11
2008,1,12,2.06,
2008,1,13,2.06,
2008,1,15,2.06,
2008,1,16,2.06,
2008,1,17,1.6,1.72
2008,1,18,1.5,1.6
2008,1,19,1.24,1.32
2008,1,20,1.24,1.32
2008,1,21,1.4,1.5
2008,1,22,1.32,1.4
2008,1,23,1.84,2.06
2008,1,24,2.06,
2008,1,25,1.6,1.72
2008,1,26,1.72,1.84
2008,1,27,1.72,1.84
2008,1,28,1.5,1.6
2008,1,29,1.5,1.6
2008,1,30,1.84,2.06
2008,1,31,1.24,1.32
2008,1,32,2.06,
2008,1,33,1.84,2.06
2008,1,34,1.84,2.06
2008,1,35,1.72,1.84
2008,1,36,1.11,1.24
2008,1,37,1.84,2.06
2008,1,38,0.4,1.11
2008,1,39,1.5,1.6
2008,1,40,1.32,1.4
2008,1,41,2.06,
2008,1,42,1.4,1.5
2008,1,44,1.84,2.06
2008,1,45,1.84,2.06
2008,1,46,1.4,1.5
2008,1,47,1.6,1.72
2008,1,48,1.24,1.32
2008,1,49,1.84,2.06
2008,1,50,1.6,1.72
2008,1,51,2.06,
2008,1,53,2.06,
2008,1,54,1.32,1.4
2008,1,55,1.4,1.5
2008,1,56,1.32,1.4
2008,2,1,1.6,1.72
2008,2,2,1.72,1.84
2008,2,4,2.06,
2008,2,5,1.4,1.5
2008,2,6,2.06,
2008,2,8,2.06,
2008,2,9,1.72,1.84
2008,2,10,1.72,1.84
2008,2,11,0.4,1.11
2008,2,12,2.06,
2008,2,13,2.06,
2008,2,15,2.06,
2008,2,16,2.06,
2008,2,17,1.72,1.84
2008,2,18,1.5,1.6
2008,2,19,1.32,1.4
2008,2,20,1.32,1.4
2008,2,21,1.4,1.5
2008,2,22,1.32,1.4
2008,2,23,1.84,2.06
2008,2,24,2.06,
2008,2,25,1.6,1.72
2008,2,26,1.72,1.84
2008,2,27,1.72,1.84
2008,2,28,1.5,1.6
2008,2,29,1.5,1.6
2008,2,30,1.84,2.06
2008,2,31,1.32,1.4
2008,2,32,2.06,
2008,2,33,2.06,
2008,2,34,1.84,2.06
2008,2,35,1.84,2.06
2008,2,36,1.32,1.4
2008,2,37,1.84,2.06
2008,2,38,0.4,1.11
2008,2,39,1.5,1.6
2008,2,40,1.32,1.4
2008,2,41,2.06,
2008,2,42,1.4,1.5
2008,2,44,2.06,
2008,2,45,2.06,
2008,2,46,1.5,1.6
2008,2,47,1.6,1.72
2008,2,48,1.24,1.32
2008,2,49,2.06,
2008,2,50,1.6,1.72
2008,2,51,2.06,
2008,2,53,2.06,
2008,2,54,1.32,1.4
2008,2,55,1.4,1.5
2008,2,56,1.32,1.4
2008,3,1,1.6,1.72
2008,3,2,1.84,2.06
2008,3,4,2.06,
2008,3,5,1.5,1.6
2008,3,6,2.06,
2008,3,8,2.06,
2008,3,9,1.72,1.84
2008,3,10,1.72,1.84
2008,3,11,0.4,1.11
2008,3,12,2.06,
