year,qtr,state_fips,low,high
2013,1,1,1.4,1.5
2013,1,2,1.5,1.6
2013,1,4,1.72,1.84
2013,1,5,1.24,1.32
2013,1,6,1.84,2.06
2013,1,8,1.72,1.84
2013,1,9,1.5,1.6
2013,1,10,1.5,1.6
2013,1,11,0.4,1.11
2013,1,12,1.84,2.06
2013,1,13,1.5,1.6
2013,1,15,2.06,
2013,1,16,1.84,2.06
2013,1,17,1.32,1.4
2013,1,18,1.24,1.32
2013,1,19,1.11,1.24
2013,1,20,1.11,1.24
2013,1,21,1.11,1.24
2013,1,22,1.11,1.24
2013,1,23,1.6,1.72
2013,1,24,2.06,
2013,1,25,1.32,1.4
2013,1,26,1.32,1.4
2013,1,27,1.32,1.4
2013,1,28,1.32,1.4
2013,1,29,1.24,1.32
2013,1,30,1.6,1.72
2013,1,31,1.11,1.24
2013,1,32,1.72,1.84
2013,1,33,1.6,1.72
2013,1,34,1.6,1.72
2013,1,35,1.6,1.72
2013,1,36,1.11,1.24
2013,1,37,1.5,1.6
2013,1,38,0.4,1.11
2013,1,39,1.11,1.24
2013,1,40,1.11,1.24
2013,1,41,1.72,1.84
2013,1,42,1.24,1.32
2013,1,44,1.5,1.6
2013,1,45,1.72,1.84
2013,1,46,1.24,1.32
2013,1,47,1.32,1.4
2013,1,48,0.4,1.11
2013,1,49,1.6,1.72
2013,1,50,1.4,1.5
2013,1,51,1.84,2.06
2013,1,53,1.84,2.06
2013,1,54,1.11,1.24
2013,1,55,1.24,1.32
2013,1,56,1.24,1.32
2013,2,1,1.4,1.5
2013,2,2,1.5,1.6
2013,2,4,1.72,1.84
2013,2,5,1.24,1.32
2013,2,6,2.06,
2013,2,8,1.72,1.84
2013,2,9,1.5,1.6
2013,2,10,1.5,1.6
2013,2,11,0.4,1.11
2013,2,12,1.84,2.06
2013,2,13,1.5,1.6
2013,2,15,2.06,
2013,2,16,1.84,2.06
2013,2,17,1.32,1.4
2013,2,18,1.24,1.32
2013,2,19,1.11,1.24
2013,2,20,1.11,1.24
2013,2,21,1.24,1.32
2013,2,22,1.11,1.24
2013,2,23,1.72,1.84
2013,2,24,2.06,
2013,2,25,1.32,1.4
2013,2,26,1.32,1.4
2013,2,27,1.4,1.5
2013,2,28,1.4,1.5
2013,2,29,1.32,1.4
2013,2,30,1.72,1.84
2013,2,31,1.11,1.24
2013,2,32,1.72,1.84
2013,2,33,1.6,1.72
2013,2,34,1.72,1.84
2013,2,35,1.6,1.72
2013,2,36,0.4,1.11
2013,2,37,1.6,1.72
2013,2,38,0.4,1.11
2013,2,39,1.24,1.32
2013,2,40,1.11,1.24
2013,2,41,1.72,1.84
2013,2,42,1.24,1.32
2013,2,44,1.6,1.72
2013,2,45,1.72,1.84
2013,2,46,1.24,1.32
2013,2,47,1.4,1.5
2013,2,48,0.4,1.11
2013,2,49,1.6,1.72
2013,2,50,1.5,1.6
2013,2,51,1.84,2.06
2013,2,53,1.84,2.06
2013,2,54,1.11,1.24
2013,2,55,1.24,1.32
2013,2,56,1.24,1.32
2013,3,1,1.5,1.6
2013,3,2,1.5,1.6
2013,3,4,1.84,2.06
2013,3,5,1.32,1.4
2013,3,6,2.06,
2013,3,8,1.84,2.06
2013,3,9,1.5,1.6
2013,3,10,1.6,1.72
2013,3,11,0.4,1.11
2013,3,12,1.84,2.06
2013,3,13,1.6,1.72
2013,3,15,2.06,
2013,3,16,1.84,2.06
2013,3,17,1.4,1.5
2013,3,18,1.32,1.4
2013,3,19,1.11,1.24
2013,3,20,1.11,1.24
2013,3,21,1.32,1.4
2013,3,22,1.24,1.32
2013,3,23,1.72,1.84
