year,qtr,state_fips,low,high
2011,1,1,1.6,1.72
2011,1,2,1.6,1.72
2011,1,4,2.06,
2011,1,5,1.32,1.4
2011,1,6,2.06,
2011,1,8,2.06,
2011,1,9,1.6,1.72
2011,1,10,1.6,1.72
2011,1,11,0.4,1.11
2011,1,12,2.06,
2011,1,13,1.84,2.06
2011,1,15,2.06,
2011,1,16,2.06,
2011,1,17,1.6,1.72
2011,1,18,1.4,1.5
2011,1,19,1.32,1.4
2011,1,20,1.32,1.4
2011,1,21,1.4,1.5
2011,1,22,1.24,1.32
2011,1,23,1.84,2.06
2011,1,24,2.06,
2011,1,25,1.5,1.6
2011,1,26,1.6,1.72
2011,1,27,1.6,1.72
2011,1,28,1.5,1.6
2011,1,29,1.5,1.6
2011,1,30,1.84,2.06
2011,1,31,1.24,1.32
2011,1,32,2.06,
2011,1,33,1.84,2.06
2011,1,34,1.84,2.06
2011,1,35,1.72,1.84
2011,1,36,1.11,1.24
2011,1,37,1.84,2.06
2011,1,38,0.4,1.11
2011,1,39,1.4,1.5
2011,1,40,1.32,1.4
2011,1,41,2.06,
2011,1,42,1.4,1.5
2011,1,44,1.84,2.06
2011,1,45,1.84,2.06
2011,1,46,1.5,1.6
2011,1,47,1.5,1.6
2011,1,48,1.11,1.24
2011,1,49,1.84,2.06
2011,1,50,1.6,1.72
2011,1,51,2.06,
2011,1,53,2.06,
2011,1,54,1.24,1.32
2011,1,55,1.4,1.5
2011,1,56,1.32,1.4
2011,2,1,1.6,1.72
2011,2,2,1.6,1.72
2011,2,4,2.06,
2011,2,5,1.32,1.4
2011,2,6,2.06,
2011,2,8,2.06,
2011,2,9,1.6,1.72
2011,2,10,1.72,1.84
2011,2,11,0.4,1.11
2011,2,12,2.06,
2011,2,13,1.84,2.06
2011,2,15,2.06,
2011,2,16,2.06,
2011,2,17,1.5,1.6
2011,2,18,1.4,1.5
2011,2,19,1.32,1.4
2011,2,20,1.24,1.32
2011,2,21,1.32,1.4
2011,2,22,1.24,1.32
2011,2,23,1.84,2.06
2011,2,24,2.06,
2011,2,25,1.4,1.5
2011,2,26,1.6,1.72
2011,2,27,1.6,1.72
2011,2,28,1.5,1.6
2011,2,29,1.4,1.5
2011,2,30,1.84,2.06
2011,2,31,1.24,1.32
2011,2,32,2.06,
2011,2,33,1.84,2.06
2011,2,34,1.84,2.06
2011,2,35,1.72,1.84
2011,2,36,1.24,1.32
2011,2,37,1.84,2.06
2011,2,38,0.4,1.11
2011,2,39,1.4,1.5
2011,2,40,1.24,1.32
2011,2,41,2.06,
2011,2,42,1.4,1.5
2011,2,44,1.84,2.06
2011,2,45,1.84,2.06
2011,2,46,1.5,1.6
2011,2,47,1.5,1.6
2011,2,48,1.11,1.24
2011,2,49,1.84,2.06
2011,2,50,1.6,1.72
2011,2,51,2.06,
2011,2,53,2.06,
2011,2,54,1.11,1.24
2011,2,55,1.32,1.4
2011,2,56,1.4,1.5
2011,3,1,1.5,1.6
2011,3,2,1.6,1.72
2011,3,4,2.06,
2011,3,5,1.32,1.4
2011,3,6,2.06,
2011,3,8,2.06,
2011,3,9,1.6,1.72
2011,3,10,1.6,1.72
2011,3,11,0.4,1.11
2011,3,12,2.06,
2011,3,13,1.72,1.84
2011,3,15,2.06,
2011,3,16,2.06,
2011,3,17,1.5,1.6
2011,3,18,1.4,1.5
2011,3,19,1.24,1.32
2011,3,20,1.24,1.32
2011,3,21,1.32,1.4
2011,3,22,1.24,1.32
2011,3,23,1.84,2.06
2011,3,24,2.06,
2011,3,25,1.5,1.6
