year,qtr,state_fips,low,high
2016,1,1,1.4,1.5
2016,1,2,1.6,1.72
2016,1,4,1.72,1.84
2016,1,5,1.24,1.32
2016,1,6,1.84,2.06
2016,1,8,1.72,1.84
2016,1,9,1.4,1.5
2016,1,10,1.6,1.72
2016,1,11,0.4,1.11
2016,1,12,1.6,1.72
2016,1,13,1.4,1.5
2016,1,15,2.06,
2016,1,16,1.84,2.06
2016,1,17,1.24,1.32
2016,1,18,1.24,1.32
2016,1,19,1.11,1.24
2016,1,20,1.11,1.24
2016,1,21,1.11,1.24
2016,1,22,1.24,1.32
2016,1,23,1.6,1.72
2016,1,24,1.84,2.06
2016,1,25,1.24,1.32
2016,1,26,1.11,1.24
2016,1,27,1.32,1.4
2016,1,28,1.4,1.5
2016,1,29,1.24,1.32
2016,1,30,1.72,1.84
2016,1,31,1.11,1.24
2016,1,32,1.6,1.72
2016,1,33,1.6,1.72
2016,1,34,1.6,1.72
2016,1,35,1.6,1.72
2016,1,36,0.4,1.11
2016,1,37,1.5,1.6
2016,1,38,0.4,1.11
2016,1,39,1.11,1.24
2016,1,40,1.24,1.32
2016,1,41,1.6,1.72
2016,1,42,1.24,1.32
2016,1,44,1.5,1.6
2016,1,45,1.6,1.72
2016,1,46,1.24,1.32
2016,1,47,1.32,1.4
2016,1,48,1.11,1.24
2016,1,49,1.6,1.72
2016,1,50,1.4,1.5
2016,1,51,1.84,2.06
2016,1,53,1.6,1.72
2016,1,54,1.24,1.32
2016,1,55,1.11,1.24
2016,1,56,1.5,1.6
2016,2,1,1.4,1.5
2016,2,2,1.6,1.72
2016,2,4,1.72,1.84
2016,2,5,1.24,1.32
2016,2,6,1.84,2.06
2016,2,8,1.72,1.84
2016,2,9,1.4,1.5
2016,2,10,1.5,1.6
2016,2,11,0.4,1.11
2016,2,12,1.6,1.72
2016,2,13,1.4,1.5
2016,2,15,2.06,
2016,2,16,1.84,2.06
2016,2,17,1.24,1.32
2016,2,18,1.24,1.32
2016,2,19,1.11,1.24
2016,2,20,1.11,1.24
2016,2,21,1.11,1.24
2016,2,22,1.32,1.4
2016,2,23,1.6,1.72
2016,2,24,1.84,2.06
2016,2,25,1.24,1.32
2016,2,26,1.24,1.32
2016,2,27,1.32,1.4
2016,2,28,1.32,1.4
2016,2,29,1.24,1.32
2016,2,30,1.72,1.84
2016,2,31,1.11,1.24
2016,2,32,1.6,1.72
2016,2,33,1.6,1.72
2016,2,34,1.6,1.72
2016,2,35,1.6,1.72
