year,qtr,state_fips,low,high
2001,1,1,1.24,1.32
2001,1,2,1.11,1.24
2001,1,4,1.4,1.5
2001,1,5,0.4,1.11
2001,1,6,1.5,1.6
2001,1,8,1.4,1.5
2001,1,9,0.4,1.11
2001,1,10,1.11,1.24
2001,1,11,0.4,1.11
2001,1,12,1.5,1.6
2001,1,13,1.32,1.4
2001,1,15,1.72,1.84
2001,1,16,1.5,1.6
2001,1,17,0.4,1.11
2001,1,18,1.11,1.24
2001,1,19,0.4,1.11
2001,1,20,0.4,1.11
2001,1,21,0.4,1.11
2001,1,22,0.4,1.11
2001,1,23,1.11,1.24
2001,1,24,1.6,1.72
2001,1,25,0.4,1.11
2001,1,26,1.11,1.24
2001,1,27,0.4,1.11
2001,1,28,1.24,1.32
2001,1,29,0.4,1.11
2001,1,30,1.4,1.5
2001,1,31,0.4,1.11
2001,1,32,1.5,1.6
2001,1,33,1.11,1.24
2001,1,34,1.11,1.24
2001,1,35,1.5,1.6
2001,1,36,0.4,1.11
2001,1,37,1.32,1.4
2001,1,38,0.4,1.11
2001,1,39,1.11,1.24
2001,1,40,0.4,1.11
2001,1,41,1.4,1.5
2001,1,42,0.4,1.11
2001,1,44,1.24,1.32
2001,1,45,1.4,1.5
2001,1,46,0.4,1.11
2001,1,47,1.11,1.24
2001,1,48,0.4,1.11
2001,1,49,1.4,1.5
2001,1,50,1.11,1.24
2001,1,51,1.4,1.5
2001,1,53,1.5,1.6
2001,1,54,1.11,1.24
2001,1,55,0.4,1.11
2001,1,56,1.11,1.24
2001,2,1,1.24,1.32
2001,2,2,0.4,1.11
2001,2,4,1.4,1.5
2001,2,5,0.4,1.11
2001,2,6,1.5,1.6
2001,2,8,1.32,1.4
2001,2,9,0.4,1.11
2001,2,10,1.11,1.24
2001,2,11,0.4,1.11
2001,2,12,1.4,1.5
2001,2,13,1.24,1.32
2001,2,15,1.72,1.84
2001,2,16,1.4,1.5
2001,2,17,0.4,1.11
2001,2,18,1.11,1.24
