year,qtr,state_fips,low,high
2014,1,1,1.4,1.5
2014,1,2,1.5,1.6
2014,1,4,1.72,1.84
2014,1,5,1.24,1.32
2014,1,6,1.84,2.06
2014,1,8,1.72,1.84
2014,1,9,1.4,1.5
2014,1,10,1.5,1.6
2014,1,11,0.4,1.11
2014,1,12,1.72,1.84
2014,1,13,1.5,1.6
2014,1,15,2.06,
2014,1,16,1.84,2.06
2014,1,17,1.32,1.4
2014,1,18,1.24,1.32
2014,1,19,1.11,1.24
2014,1,20,1.11,1.24
2014,1,21,1.24,1.32
2014,1,22,1.11,1.24
2014,1,23,1.6,1.72
2014,1,24,2.06,
2014,1,25,1.32,1.4
2014,1,26,1.24,1.32
2014,1,27,1.32,1.4
2014,1,28,1.4,1.5
2014,1,29,1.24,1.32
2014,1,30,1.72,1.84
2014,1,31,1.11,1.24
2014,1,32,1.72,1.84
2014,1,33,1.6,1.72
2014,1,34,1.6,1.72
2014,1,35,1.6,1.72
2014,1,36,0.4,1.11
2014,1,37,1.6,1.72
2014,1,38,0.4,1.11
2014,1,39,1.11,1.24
2014,1,40,1.11,1.24
2014,1,41,1.72,1.84
2014,1,42,1.24,1.32
2014,1,44,1.5,1.6
2014,1,45,1.72,1.84
2014,1,46,1.24,1.32
2014,1,47,1.32,1.4
2014,1,48,0.4,1.11
2014,1,49,1.6,1.72
2014,1,50,1.4,1.5
2014,1,51,1.84,2.06
2014,1,53,1.84,2.06
2014,1,54,1.11,1.24
2014,1,55,1.11,1.24
2014,1,56,1.24,1.32
2014,2,1,1.4,1.5
2014,2,2,1.5,1.6
2014,2,4,1.72,1.84
2014,2,5,1.24,1.32
2014,2,6,1.84,2.06
2014,2,8,1.72,1.84
2014,2,9,1.5,1.6
2014,2,10,1.5,1.6
2014,2,11,0.4,1.11
2014,2,12,1.72,1.84
2014,2,13,1.5,1.6
2014,2,15,2.06,
2014,2,16,1.84,2.06
2014,2,17,1.32,1.4
2014,2,18,1.24,1.32
2014,2,19,1.11,1.24
2014,2,20,1.11,1.24
2014,2,21,1.24,1.32
2014,2,22,1.11,1.24
2014,2,23,1.72,1.84
2014,2,24,2.06,
2014,2,25,1.32,1.4
2014,2,26,1.24,1.32
2014,2,27,1.4,1.5
2014,2,28,1.4,1.5
2014,2,29,1.32,1.4
2014,2,30,1.72,1.84
2014,2,31,1.11,1.24
2014,2,32,1.72,1.84
2014,2,33,1.6,1.72
2014,2,34,1.72,1.84
2014,2,35,1.6,1.72
2014,2,36,1.11,1.24
2014,2,37,1.6,1.72
2014,2,38,0.4,1.11
2014,2,39,1.24,1.32
2014,2,40,1.11,1.24
2014,2,41,1.72,1.84
2014,2,42,1.24,1.32
2014,2,44,1.6,1.72
2014,2,45,1.72,1.84
2014,2,46,1.24,1.32
2014,2,47,1.32,1.4
2014,2,48,0.4,1.11
2014,2,49,1.72,1.84
2014,2,50,1.5,1.6
2014,2,51,1.84,2.06
2014,2,53,1.84,2.06
2014,2,54,1.11,1.24
2014,2,55,1.24,1.32
2014,2,56,1.32,1.4
2014,3,1,1.5,1.6
2014,3,2,1.6,1.72
